0	Pelotomaculum thermopropionicum;Pelotomaculum;Pelotomaculaceae;Desulfotomaculales;Desulfotomaculia;Firmicutes_B	Pelotomaculum thermopropionicum;Pelotomaculum;Peptococcaceae;Eubacteriales;Clostridia;Firmicutes
1	Herpetosiphon aurantiacus;Herpetosiphon;Herpetosiphonaceae;Chloroflexales;Chloroflexia;Chloroflexota	Herpetosiphon aurantiacus;Herpetosiphon;Herpetosiphonaceae;Herpetosiphonales;Chloroflexia;Chloroflexi
2	Spirosoma linguale;Spirosoma;Spirosomaceae;Cytophagales;Bacteroidia;Bacteroidota	Spirosoma linguale;Spirosoma;Cytophagaceae;Cytophagales;Cytophagia;Bacteroidetes
3	Marinobacter adhaerens;Marinobacter;Oleiphilaceae;Pseudomonadales;Gammaproteobacteria;Proteobacteria	Marinobacter adhaerens;Marinobacter;Marinobacteraceae;Pseudomonadales;Gammaproteobacteria;Proteobacteria
4	Desulfobulbus propionicus;Desulfobulbus;Desulfobulbaceae;Desulfobulbales;Desulfobulbia;Desulfobacterota	Desulfobulbus propionicus;Desulfobulbus;Desulfobulbaceae;Desulfobacterales;Deltaproteobacteria;Proteobacteria
5	Desulfofundulus kuznetsovii;Desulfofundulus;Desulfovirgulaceae;Desulfotomaculales;Desulfotomaculia;Firmicutes_B	Desulfofundulus kuznetsovii;Desulfofundulus;Peptococcaceae;Eubacteriales;Clostridia;Firmicutes
6	Zymomonas pomaceae;Zymomonas;Sphingomonadaceae;Sphingomonadales;Alphaproteobacteria;Proteobacteria	Zymomonas mobilis;Zymomonas;Zymomonadaceae;Sphingomonadales;Alphaproteobacteria;Proteobacteria
7	Runella slithyformis;Runella;Spirosomaceae;Cytophagales;Bacteroidia;Bacteroidota	Runella slithyformis;Runella;Spirosomaceae;Cytophagales;Cytophagia;Bacteroidetes
8	Sulfobacillus_A acidophilus;Sulfobacillus_A;Sulfobacillaceae;Sulfobacillales;Sulfobacillia;Firmicutes_E	Sulfobacillus acidophilus;Sulfobacillus;Clostridiales Family XVII. Incertae Sedis;Eubacteriales;Clostridia;Firmicutes
9	Serratia_D symbiotica_A;Serratia_D;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Serratia symbiotica;Serratia;Yersiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
10	Emticicia oligotrophica;Emticicia;Spirosomaceae;Cytophagales;Bacteroidia;Bacteroidota	Emticicia oligotrophica;Emticicia;Spirosomaceae;Cytophagales;Cytophagia;Bacteroidetes
11	Eperythrozoon_A haemolamae;Eperythrozoon_A;Mycoplasmoidaceae;Mycoplasmatales;Bacilli;Firmicutes	Candidatus Mycoplasma haemolamae;Mycoplasma;Mycoplasmataceae;Mycoplasmatales;Mollicutes;Tenericutes
12	Thermoanaerobacterium saccharolyticum_B;Thermoanaerobacterium;Thermoanaerobacteraceae;Thermoanaerobacterales;Thermoanaerobacteria;Firmicutes_A	Thermoanaerobacterium saccharolyticum;Thermoanaerobacterium;Thermoanaerobacterales Family III. Incertae Sedis;Thermoanaerobacterales;Clostridia;Firmicutes
13	Cyanobacterium stanieri;Cyanobacterium;Cyanobacteriaceae;Cyanobacteriales;Cyanobacteriia;Cyanobacteria	Cyanobacterium stanieri;Cyanobacterium;Geminocystaceae;Chroococcales;na;Cyanobacteria
14	Ilumatobacter_A coccineus;Ilumatobacter_A;Ilumatobacteraceae;Acidimicrobiales;Acidimicrobiia;Actinobacteriota	Ilumatobacter coccineus;Ilumatobacter;Ilumatobacteraceae;Acidimicrobiales;Acidimicrobiia;Actinobacteria
15	Cupriavidus pickettii_A;Cupriavidus;Burkholderiaceae;Burkholderiales;Gammaproteobacteria;Proteobacteria	Ralstonia pickettii;Ralstonia;Burkholderiaceae;Burkholderiales;Betaproteobacteria;Proteobacteria
16	Campylobacter testudinum;Campylobacter;Campylobacteraceae;Campylobacterales;Campylobacteria;Campylobacterota	Campylobacter fetus;Campylobacter;Campylobacteraceae;Campylobacterales;Epsilonproteobacteria;Proteobacteria
17	UBA8498 sp000503835;UBA8498;UBA10185;UBA101185;WWE3;Patescibacteria	candidate division WWE3 bacterium RAAC2_WWE3_1;na;na;na;na;candidate division WWE3
18	UBA5124 sp000503875;UBA5124;X112;Absconditabacterales;Gracilibacteria;Patescibacteria	candidate division SR1 bacterium RAAC1_SR1_1;na;na;na;na;Candidatus Absconditabacteria
19	RAAC3-TM7-1 sp000503915;RAAC3-TM7-1;Saccharimonadaceae;Saccharimonadales;Saccharimonadia;Patescibacteria	Candidatus Saccharibacteria bacterium RAAC3_TM7_1;na;na;na;na;Candidatus Saccharibacteria
20	Dyella jiangningensis;Dyella;Rhodanobacteraceae;Xanthomonadales;Gammaproteobacteria;Proteobacteria	Dyella jiangningensis;Dyella;Rhodanobacteraceae;Xanthomonadales;Gammaproteobacteria;Proteobacteria
21	Mycoplasmoides amphoriforme;Mycoplasmoides;Mycoplasmoidaceae;Mycoplasmatales;Bacilli;Firmicutes	Mycoplasma amphoriforme;Mycoplasma;Mycoplasmataceae;Mycoplasmatales;Mollicutes;Tenericutes
22	Planktomarina temperata;Planktomarina;Rhodobacteraceae;Rhodobacterales;Alphaproteobacteria;Proteobacteria	Planktomarina temperata;Planktomarina;Rhodobacteraceae;Rhodobacterales;Alphaproteobacteria;Proteobacteria
23	Paracaedimonas acanthamoebae;Paracaedimonas;Caedimonadaceae;Caedimonadales;Alphaproteobacteria;Proteobacteria	Candidatus Paracaedimonas acanthamoebae;Candidatus Paracaedimonas;Caedimonadaceae;Holosporales;Alphaproteobacteria;Proteobacteria
24	Borreliella chilensis;Borreliella;Borreliaceae;Borreliales;Spirochaetia;Spirochaetota	Borreliella chilensis;Borreliella;Borreliaceae;Spirochaetales;Spirochaetia;Spirochaetes
25	Bacillus_E coagulans;Bacillus_E;Bacillaceae_C;Bacillales;Bacilli;Firmicutes	Weizmannia coagulans;Weizmannia;Bacillaceae;Bacillales;Bacilli;Firmicutes
26	Rugosibacter aromaticivorans;Rugosibacter;Rhodocyclaceae;Burkholderiales;Gammaproteobacteria;Proteobacteria	Rugosibacter aromaticivorans;Rugosibacter;Rhodocyclaceae;Rhodocyclales;Betaproteobacteria;Proteobacteria
27	Sphingomonas hengshuiensis;Sphingomonas;Sphingomonadaceae;Sphingomonadales;Alphaproteobacteria;Proteobacteria	Sphingomonas hengshuiensis;Sphingomonas;Sphingomonadaceae;Sphingomonadales;Alphaproteobacteria;Proteobacteria
28	Sulfurovum lithotrophicum;Sulfurovum;Sulfurovaceae;Campylobacterales;Campylobacteria;Campylobacterota	Sulfurovum lithotrophicum;Sulfurovum;Sulfurovaceae;Campylobacterales;Epsilonproteobacteria;Proteobacteria
29	Labilithrix luteola;Labilithrix;Polyangiaceae;Polyangiales;Polyangia;Myxococcota	Labilithrix luteola;Labilithrix;Labilitrichaceae;Myxococcales;Deltaproteobacteria;Proteobacteria
30	Enterococcus silesiacus;Enterococcus;Enterococcaceae;Lactobacillales;Bacilli;Firmicutes	Enterococcus silesiacus;Enterococcus;Enterococcaceae;Lactobacillales;Bacilli;Firmicutes
31	MA-N2 sp001549895;MA-N2;Micrococcaceae;Actinomycetales;Actinomycetia;Actinobacteriota	Arthrobacter sp. Hiyo8;Arthrobacter;Micrococcaceae;Micrococcales;Actinomycetia;Actinobacteria
32	Pirellula_B sp001610875;Pirellula_B;Pirellulaceae;Pirellulales;Planctomycetes;Planctomycetota	Pirellula sp. SH-Sr6A;Pirellula;Pirellulaceae;Pirellulales;Planctomycetia;Planctomycetes
33	Streptococcus anginosus_C;Streptococcus;Streptococcaceae;Lactobacillales;Bacilli;Firmicutes	Streptococcus anginosus;Streptococcus;Streptococcaceae;Lactobacillales;Bacilli;Firmicutes
34	Flavobacterium psychrophilum_A;Flavobacterium;Flavobacteriaceae;Flavobacteriales;Bacteroidia;Bacteroidota	Flavobacterium psychrophilum;Flavobacterium;Flavobacteriaceae;Flavobacteriales;Flavobacteriia;Bacteroidetes
35	Zag1 sp001765415;Zag1;Gastranaerophilaceae;Gastranaerophilales;Vampirovibrionia;Cyanobacteria	Candidatus Melainabacteria bacterium MEL.A1;na;na;na;na;Candidatus Melainabacteria
36	Minicystis rosea;Minicystis;Polyangiaceae;Polyangiales;Polyangia;Myxococcota	Minicystis rosea;Minicystis;na;Myxococcales;Deltaproteobacteria;Proteobacteria
37	Limihaloglobus sp001999965;Limihaloglobus;Sedimentisphaeraceae;Sedimentisphaerales;Phycisphaerae;Planctomycetota	Limihaloglobus sulfuriphilus;Limihaloglobus;Sedimentisphaeraceae;Sedimentisphaerales;Phycisphaerae;Planctomycetes
38	Anaerohalosphaera sp002007645;Anaerohalosphaera;Anaerohalophaeraceae;Sedimentisphaerales;Phycisphaerae;Planctomycetota	Anaerohalosphaera lusitana;Anaerohalosphaera;Anaerohalosphaeraceae;Sedimentisphaerales;Phycisphaerae;Planctomycetes
39	Mycobacterium litorale_A;Mycobacterium;Mycobacteriaceae;Mycobacteriales;Actinomycetia;Actinobacteriota	Mycolicibacterium litorale;Mycolicibacterium;Mycobacteriaceae;Corynebacteriales;Actinomycetia;Actinobacteria
40	Riesia sp002074035;Riesia;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Candidatus Riesia sp. GBBU;Candidatus Riesia;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
41	Kluyvera georgiana_A;Kluyvera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Kluyvera genomosp. 3;Kluyvera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
